	0	1	2	3	4	5
414	603517	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2245437231993744	0.0062529677297179
414	1213	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2464086885583694	0.0037007033364737
414	300883	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2418809886070934	0.0013900359640987
414	2622	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2107602703896527	0.0069235020298266
414	712	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2832678545144176	5.258396993355429e-05
414	2532	type3	target_close2	amount_normalize20_rolling_96_mean	-0.227693131754402	0.0064265076889558
414	2228	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2621995334271401	0.0002052403806268
414	603979	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2464457854051218	0.0028067648850828
414	301036	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2786084306789177	0.003205826860307
414	2819	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2375125402550861	0.0074077672241827
414	300354	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2067825947524244	0.0093653911110837
414	301065	type3	target_close2	amount_normalize20_rolling_96_mean	-0.3295712737255022	0.0006347169459906
414	600815	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2702686002471524	0.0001328096472555
414	2769	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2552583383414588	0.0015045540488075
414	300277	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2783593914279338	0.0002373852253932
414	300970	type3	target_close2	amount_normalize20_rolling_96_mean	-0.3335287960065192	1.5358317239794968e-05
414	600868	type3	target_close2	amount_normalize20_rolling_96_mean	-0.208425145721924	0.0021776480525338
414	600521	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2399902677961149	0.0008804562349738
414	600862	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2091054968443692	0.0145604267569542
414	300050	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2196807177565739	0.0019239794697803
414	1211	type3	target_close2	amount_normalize20_rolling_96_mean	-0.3095498560509683	0.000143549319215
414	688799	type3	target_close2	amount_normalize20_rolling_96_mean	-0.4313895139053741	1.952425063778409e-07
414	688161	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2552442966103724	0.0061293100524084
414	300105	type3	target_close2	amount_normalize20_rolling_96_mean	-0.20951581669213	0.0091112918449784
414	603035	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2997403335665196	0.0002624221748059
414	2915	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2588468611289485	0.0009147980544672
414	600760	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2268751875701425	0.0079049377567292
414	2998	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2220449181377834	0.0068717223400614
